"Id","Label","group"
1531692331690524672,"","Tweets"
1531692287993864192,"","Tweets"
1531692282327482368,"","Tweets"
1531692235602919424,"","Tweets"
1531692164446560256,"","Tweets"
1531692107282382848,"","Tweets"
1531692077586726912,"","Tweets"
1531691949094277120,"","Tweets"
1531691822145232896,"","Tweets"
753618666,"AllForBella1","Users"
2994916294,"IWN","Users"
1397358089758781440,"RuthieSpence14","Users"
484237843,"SteveTVNews","Users"
532417494,"nwanokwale","Users"
1334326893018030080,"VSillhouette","Users"
3014890972,"LSKazalski","Users"
404073535,"tozaydagreat","Users"
14872278,"BeautyUndone456","Users"
902941272465223680,"ScarletM1926","Users"
95459812,"PapBrady","Users"
1424841408687460352,"thehashhooligan","Users"
30758217,"quietstorm33","Users"
127579755,"JamesInCT","Users"
2330663227,"Goddess_Moon","Users"
2224496233,"kitlyrosee","Users"
2884539849,"SHGraves29","Users"
513326424,"VinG44","Users"
1143183447696920576,"azpublic1","Users"
1319440772123471872,"XeshireC","Users"
1100083927723720704,"MediacomMC22","Users"
4427327421,"gabriellejo94","Users"
3149896644,"AGDawg","Users"
1434501197688233984,"mikrokosmosluvs","Users"
1730669436,"MHernandezTV_","Users"
60581110,"topazkat","Users"
1241538981680033792,"SoWhat52132892","Users"
234414078,"mymcmedia","Users"
1345319606802640896,"BotForEquality","Users"
27524226,"CookieRV","Users"
81169099,"MrWells2011","Users"
1353804697732263936,"tristateimpact","Users"
33933259,"UNICEF","Users"
1411153087142809600,"henokcrypto","Users"
19924520,"WashMystics","Users"
1346176362734899200,"romanov_vaclav","Users"
911469967,"VictorSharma12","Users"
1491418538225324032,"Pushkala8762228","Users"
918525228602535936,"Atheist_Unbound","Users"
722185265121333248,"arnie_brown5","Users"
478186903,"edbobgreen","Users"
546620340,"lwassa_d","Users"
1221476215250464768,"DJ22416182","Users"
1442967018618118144,"FromNewYorkCity","Users"
325784370,"Khailsss_","Users"
1237779498910863360,"OMelly51","Users"
25469559,"pedroiafan","Users"
831151554413498368,"Granikins","Users"
20488455,"tjh1959","Users"
1309180744229621760,"WickliffeFRC","Users"
180107694,"kaitlancollins","Users"
1087380412089987072,"therecount","Users"
1214157956,"M_Woodard13","Users"
18794365,"mr_egarcia","Users"
999783970123509760,"AnnoyedRobotX","Users"
739835391323295744,"ForOurFutureWI","Users"
916015667425550336,"mtlawmiami","Users"
1134554950829248512,"TechnicalJim","Users"
130949925,"HopeForTheDay","Users"
1507757197735907328,"IgnitewithAine","Users"
3066641321,"drphil211","Users"
755707206,"CTDMHAS","Users"
2851818279,"voice21oracy","Users"
2738019387,"MaitayaJnr","Users"
1530988545355436032,"Jaraalina3","Users"
2557859383,"MEEKSVS","Users"
929038684397228032,"merrowbrymm","Users"
